# ----------------------------------------
# Landingpage: Landingpage
# Konto: agentur-jg.de
# Property: agentur-jg.de
# ----------------------------------------
# 
# Alle Nutzer
# Startdatum: 20260513
# Enddatum: 20260609
Landingpage,Sitzungen,Aktive Nutzer,Neue Nutzer,Durchschnittliche Interaktionsdauer pro Sitzung,Schlüsselereignisse,Gesamtumsatz,Sitzung – Schlüsselereignisrate
/,26,25,25,26,3,0,0.11538461538461539
(not set),3,3,2,0,0,0,0
/datenschutzerklaerung,1,1,1,4,0,0,0
/impressum,1,1,1,0,0,0,0
/kontakt,1,1,1,0,1,0,1
