# ----------------------------------------
# Seiten und Bildschirme: Seitenpfad und Bildschirmklasse
# Konto: agentur-jg.de
# Property: agentur-jg.de
# ----------------------------------------
# 
# Alle Nutzer
# Startdatum: 20260513
# Enddatum: 20260609
Seitenpfad und Bildschirmklasse,Aufrufe,Aktive Nutzer,Aufrufe pro aktivem Nutzer,Durchschnittliche Interaktionsdauer pro aktivem Nutzer,Ereignisanzahl,Schlüsselereignisse,Gesamtumsatz
/,36,26,1.3846153846153846,24.884615384615383,155,0,0
/datenschutzerklaerung/,4,4,1,1.75,19,0,0
/kontakt/,4,4,1,0.75,19,4,0
/impressum/,3,3,1,6.666666666666667,8,0,0
/website-check/,3,3,1,1,12,0,0
/render,0,2,0,0,8,0,0
