# ----------------------------------------
# Neu generierter Traffic: Sitzung – primäre Channelgruppe (Standard-Channelgruppe)
# Konto: agentur-jg.de
# Property: agentur-jg.de
# ----------------------------------------
# 
# Alle Nutzer
# Startdatum: 20260513
# Enddatum: 20260609
Sitzung – primäre Channelgruppe (Standard-Channelgruppe),Sitzungen,Sitzungen mit Interaktionen,Engagement-Rate,Durchschnittliche Interaktionsdauer pro Sitzung,Ereignisse pro Sitzung,Ereignisanzahl,Schlüsselereignisse,Sitzung – Schlüsselereignisrate,Gesamtumsatz
Direct,25,10,0.4,23.68,6.44,161,2,0.08,0
Referral,4,3,0.75,18.5,6.25,25,0,0,0
Unassigned,2,1,0.5,7,15,30,1,0.5,0
Organic Social,1,1,1,0,5,5,1,1,0
