# ----------------------------------------
# Demografische Daten: Land
# Konto: agentur-jg.de
# Property: agentur-jg.de
# ----------------------------------------
# 
# Alle Nutzer
# Startdatum: 20260513
# Enddatum: 20260609
Land,Aktive Nutzer,Neue Nutzer,Sitzungen mit Interaktionen,Engagement-Rate,Sitzungen mit Interaktionen pro aktivem Nutzer,Durchschnittliche Interaktionsdauer pro aktivem Nutzer,Ereignisanzahl,Schlüsselereignisse,Nutzer – Schlüsselereignisrate,Gesamtumsatz
Germany,19,19,13,0.6190476190476191,0.6842105263157895,35.10526315789474,167,4,0.21052631578947367,0
France,4,4,0,0,0,1,21,0,0,0
Netherlands,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,0,0,0
India,2,2,1,0.5,0.5,3.5,9,0,0,0
Denmark,1,1,0,0,0,0,4,0,0,0
Italy,1,1,0,0,0,1,6,0,0,0
